,num,cosit,start_date,end_date,path,raw_path,url
2562,20511,NRA_000000020511,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020511.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020511.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020511&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2570,20562,NRA_000000020562,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020562.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020562.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020562&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2579,20801,NRA_000000020801,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020801.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020801.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020801&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2592,32501,NRA_000000032501,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000032501.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000032501.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000032501&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2593,32502,NRA_000000032502,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000032502.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000032502.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000032502&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2594,150141,NRA_000000150141,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000150141.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000150141.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000150141&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2666,1113,NRA_000000001113,2020-08-01,2020-08-31,Data/2020-08-01 - 2020-08-31/NRA_000000001113.xls,Data/Raw/2020-08-01 - 2020-08-31/NRA_000000001113.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001113&reportdate=2020-08-01&enddate=2020-08-31&excel=1&intval=11
2674,1161,NRA_000000001161,2020-08-01,2020-08-31,Data/2020-08-01 - 2020-08-31/NRA_000000001161.xls,Data/Raw/2020-08-01 - 2020-08-31/NRA_000000001161.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001161&reportdate=2020-08-01&enddate=2020-08-31&excel=1&intval=11
2710,1321,NRA_000000001321,2020-08-01,2020-08-31,Data/2020-08-01 - 2020-08-31/NRA_000000001321.xls,Data/Raw/2020-08-01 - 2020-08-31/NRA_000000001321.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001321&reportdate=2020-08-01&enddate=2020-08-31&excel=1&intval=11
2712,1401,NRA_000000001401,2020-08-01,2020-08-31,Data/2020-08-01 - 2020-08-31/NRA_000000001401.xls,Data/Raw/2020-08-01 - 2020-08-31/NRA_000000001401.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001401&reportdate=2020-08-01&enddate=2020-08-31&excel=1&intval=11
